doenca_cid;faixa_etaria;internacoes;media_permanencia;tx_mortalidade;media_perm_macro;tx_mort_macro;melhor_hospital;tx_mort_melhor_hosp
Algumas afec originadas no período perinatal;1 a 4 anos;102.0;4.5;1.96;4.05;0.4775;HOSPITAL BARAO DE LUCENA;1.06
Algumas afec originadas no período perinatal;10 a 14 anos;40.0;2.7;0.0;3.275;0.47;HOSPITAL BARAO DE LUCENA;1.06
Algumas afec originadas no período perinatal;15 a 19 anos;108.0;2.6;0.0;3.05;0.47250000000000003;HOSPITAL BARAO DE LUCENA;1.06
Algumas afec originadas no período perinatal;20 a 29 anos;396.0;3.0;0.25;3.25;0.5225;HOSPITAL BARAO DE LUCENA;1.06
Algumas afec originadas no período perinatal;30 a 39 anos;451.0;3.2;0.0;3.6999999999999997;1.095;HOSPITAL BARAO DE LUCENA;1.06
Algumas afec originadas no período perinatal;40 a 49 anos;729.0;2.8;0.82;4.575;2.525;HOSPITAL BARAO DE LUCENA;1.06
Algumas afec originadas no período perinatal;5 a 9 anos;52.0;4.0;0.0;3.125;0.4675;HOSPITAL BARAO DE LUCENA;1.06
Algumas afec originadas no período perinatal;50 a 59 anos;683.0;3.1;1.17;5.175;4.245;HOSPITAL BARAO DE LUCENA;1.06
Algumas afec originadas no período perinatal;60 a 69 anos;627.0;3.3;2.39;5.425;6.38;HOSPITAL BARAO DE LUCENA;1.06
Algumas afec originadas no período perinatal;70 a 79 anos;425.0;3.0;0.94;5.95;9.8575;HOSPITAL BARAO DE LUCENA;1.06
Algumas afec originadas no período perinatal;80 anos e mais;179.0;3.2;1.12;6.5;15.62;HOSPITAL BARAO DE LUCENA;1.06
Algumas afec originadas no período perinatal;Menor 1 ano;22270.0;6.6;1.91;5.4;1.7675;HOSPITAL BARAO DE LUCENA;1.06
Algumas doenças infecciosas e parasitárias;1 a 4 anos;2897.0;6.0;1.28;4.05;0.4775;HOSPITAL BARAO DE LUCENA;9.97
Algumas doenças infecciosas e parasitárias;10 a 14 anos;1310.0;6.3;1.68;3.275;0.47;HOSPITAL BARAO DE LUCENA;9.97
Algumas doenças infecciosas e parasitárias;15 a 19 anos;1027.0;6.9;3.41;3.05;0.47250000000000003;HOSPITAL BARAO DE LUCENA;9.97
Algumas doenças infecciosas e parasitárias;20 a 29 anos;2948.0;9.0;5.22;3.25;0.5225;HOSPITAL BARAO DE LUCENA;9.97
Algumas doenças infecciosas e parasitárias;30 a 39 anos;3511.0;9.6;8.09;3.6999999999999997;1.095;HOSPITAL BARAO DE LUCENA;9.97
Algumas doenças infecciosas e parasitárias;40 a 49 anos;4711.0;9.9;11.02;4.575;2.525;HOSPITAL BARAO DE LUCENA;9.97
Algumas doenças infecciosas e parasitárias;5 a 9 anos;1851.0;5.9;1.03;3.125;0.4675;HOSPITAL BARAO DE LUCENA;9.97
Algumas doenças infecciosas e parasitárias;50 a 59 anos;5553.0;10.2;17.05;5.175;4.245;HOSPITAL BARAO DE LUCENA;9.97
Algumas doenças infecciosas e parasitárias;60 a 69 anos;6412.0;10.1;23.24;5.425;6.38;HOSPITAL BARAO DE LUCENA;9.97
Algumas doenças infecciosas e parasitárias;70 a 79 anos;5899.0;9.9;31.04;5.95;9.8575;HOSPITAL BARAO DE LUCENA;9.97
Algumas doenças infecciosas e parasitárias;80 anos e mais;4715.0;8.4;40.49;6.5;15.62;HOSPITAL BARAO DE LUCENA;9.97
Algumas doenças infecciosas e parasitárias;Menor 1 ano;4084.0;9.7;3.18;5.4;1.7675;HOSPITAL BARAO DE LUCENA;9.97
Contatos com serviços de saúde;1 a 4 anos;468.0;1.1;0.0;4.05;0.4775;IMIP;0.21
Contatos com serviços de saúde;10 a 14 anos;522.0;1.2;0.38;3.275;0.47;IMIP;0.21
Contatos com serviços de saúde;15 a 19 anos;680.0;1.8;0.15;3.05;0.47250000000000003;IMIP;0.21
Contatos com serviços de saúde;20 a 29 anos;7318.0;1.8;0.03;3.25;0.5225;IMIP;0.21
Contatos com serviços de saúde;30 a 39 anos;8727.0;1.6;0.06;3.6999999999999997;1.095;IMIP;0.21
Contatos com serviços de saúde;40 a 49 anos;3872.0;1.3;0.28;4.575;2.525;IMIP;0.21
Contatos com serviços de saúde;5 a 9 anos;618.0;0.8;0.0;3.125;0.4675;IMIP;0.21
Contatos com serviços de saúde;50 a 59 anos;2019.0;1.3;0.45;5.175;4.245;IMIP;0.21
Contatos com serviços de saúde;60 a 69 anos;1992.0;1.3;0.75;5.425;6.38;IMIP;0.21
Contatos com serviços de saúde;70 a 79 anos;1256.0;1.6;1.27;5.95;9.8575;IMIP;0.21
Contatos com serviços de saúde;80 anos e mais;452.0;2.6;3.98;6.5;15.62;IMIP;0.21
Contatos com serviços de saúde;Menor 1 ano;1485.0;1.4;0.07;5.4;1.7675;IMIP;0.21
Doenças da pele e do tecido subcutâneo;1 a 4 anos;905.0;4.8;0.0;4.05;0.4775;US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE;0.37
Doenças da pele e do tecido subcutâneo;10 a 14 anos;792.0;3.9;0.0;3.275;0.47;US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE;0.37
Doenças da pele e do tecido subcutâneo;15 a 19 anos;698.0;3.0;0.0;3.05;0.47250000000000003;US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE;0.37
Doenças da pele e do tecido subcutâneo;20 a 29 anos;1816.0;3.4;0.22;3.25;0.5225;US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE;0.37
Doenças da pele e do tecido subcutâneo;30 a 39 anos;2525.0;3.2;0.2;3.6999999999999997;1.095;US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE;0.37
Doenças da pele e do tecido subcutâneo;40 a 49 anos;4139.0;3.1;0.36;4.575;2.525;US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE;0.37
Doenças da pele e do tecido subcutâneo;5 a 9 anos;806.0;4.3;0.0;3.125;0.4675;US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE;0.37
Doenças da pele e do tecido subcutâneo;50 a 59 anos;5939.0;3.4;0.42;5.175;4.245;US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE;0.37
Doenças da pele e do tecido subcutâneo;60 a 69 anos;6187.0;3.5;0.99;5.425;6.38;US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE;0.37
Doenças da pele e do tecido subcutâneo;70 a 79 anos;4249.0;4.2;2.47;5.95;9.8575;US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE;0.37
Doenças da pele e do tecido subcutâneo;80 anos e mais;2142.0;5.1;5.98;6.5;15.62;US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE;0.37
Doenças da pele e do tecido subcutâneo;Menor 1 ano;326.0;4.8;0.61;5.4;1.7675;US 111 HOSPITAL EDUARDO CAMPOS DA PESSOA IDOSA DO RECIFE;0.37
Doenças do aparelho circulatório;1 a 4 anos;345.0;6.4;2.32;4.05;0.4775;HOSPITAL DA RESTAURACAO;15.22
Doenças do aparelho circulatório;10 a 14 anos;238.0;6.7;1.26;3.275;0.47;HOSPITAL DA RESTAURACAO;15.22
Doenças do aparelho circulatório;15 a 19 anos;559.0;6.2;1.07;3.05;0.47250000000000003;HOSPITAL DA RESTAURACAO;15.22
Doenças do aparelho circulatório;20 a 29 anos;2027.0;5.8;1.92;3.25;0.5225;HOSPITAL DA RESTAURACAO;15.22
Doenças do aparelho circulatório;30 a 39 anos;3444.0;6.1;3.48;3.6999999999999997;1.095;HOSPITAL DA RESTAURACAO;15.22
Doenças do aparelho circulatório;40 a 49 anos;6757.0;6.6;4.71;4.575;2.525;HOSPITAL DA RESTAURACAO;15.22
Doenças do aparelho circulatório;5 a 9 anos;261.0;5.6;1.15;3.125;0.4675;HOSPITAL DA RESTAURACAO;15.22
Doenças do aparelho circulatório;50 a 59 anos;12243.0;7.3;5.59;5.175;4.245;HOSPITAL DA RESTAURACAO;15.22
Doenças do aparelho circulatório;60 a 69 anos;16383.0;7.6;7.48;5.425;6.38;HOSPITAL DA RESTAURACAO;15.22
Doenças do aparelho circulatório;70 a 79 anos;14652.0;7.8;10.05;5.95;9.8575;HOSPITAL DA RESTAURACAO;15.22
Doenças do aparelho circulatório;80 anos e mais;9199.0;7.3;14.86;6.5;15.62;HOSPITAL DA RESTAURACAO;15.22
Doenças do aparelho circulatório;Menor 1 ano;341.0;9.7;4.11;5.4;1.7675;HOSPITAL DA RESTAURACAO;15.22
Doenças do aparelho digestivo;1 a 4 anos;1901.0;2.5;0.37;4.05;0.4775;HOSPITAL OTAVIO DE FREITAS;6.3
Doenças do aparelho digestivo;10 a 14 anos;2249.0;2.9;0.22;3.275;0.47;HOSPITAL OTAVIO DE FREITAS;6.3
Doenças do aparelho digestivo;15 a 19 anos;2091.0;2.5;0.33;3.05;0.47250000000000003;HOSPITAL OTAVIO DE FREITAS;6.3
Doenças do aparelho digestivo;20 a 29 anos;6804.0;2.6;0.46;3.25;0.5225;HOSPITAL OTAVIO DE FREITAS;6.3
